EAN;Título;Autor;Editorial;Ejemplares;PVP;Precio liquidación;Valor total;Hecho
'9788469602713;ASTÉRIX EN BÉLGICA;GOSCINNY, RENÉ;EDITORIAL BRUÑO;2;12,95;12,30;25,90;
'9788469602744;EL HIJO DE ASTÉRIX;UDERZO, ALBERT;EDITORIAL BRUÑO;2;12,95;12,30;25,90;
'9788469602751;ASTÉRIX EN LA INDIA;UDERZO, ALBERT;EDITORIAL BRUÑO;2;12,95;12,30;25,90;
'9788469620380;ASTÉRIX EN ITALIA;"GOSCINNY, RENÉ;FERRI, JEAN-YVES";EDITORIAL BRUÑO;2;12,95;12,30;25,90;
'9788469669839;ASTÉRIX EN BRETAÑA ED 23;GOSCINNY, RENÉ;EDITORIAL BRUÑO;2;12,95;12,30;25,90;
'9788412175394;PERDERSE;ERNAUX, ANNIE;EDITORIAL CABARET VOLTAIRE;2;22,95;21,80;45,90;
'9788412175318;UNA MUJER;ERNAUX, ANNIE;EDITORIAL CABARET VOLTAIRE;2;16,95;16,10;33,90;
'9788419047335;LA OCUPACIÓN;ERNAUX, ANNIE;EDITORIAL CABARET VOLTAIRE;2;16,95;16,10;33,90;
'9798879149371;BARBEY DÁUREVILLY;ALFREDO TRIFF;EDITORIAL CASA VACÍA;9;12,00;11,40;108,00;
'9798281808422;VIENE REGANDO FLORES;ROSIE INGUANZO;EDITORIAL CASA VACÍA;7;12,00;11,40;84,00;
'9798303515802;ORINAR HACIA ARRIBA;MARIEN FERNÁNDEZ CASTILLO;EDITORIAL CASA VACÍA;2;12,00;11,40;24,00;
'9788419627940;COBRE EN LA SANGRE;LUNAR, LORENZO;EDITORIAL CLANDESTINA;2;20,00;19,00;40,00;
'9791399056631;EMPRENDER (A) CONTRACORRIENTE;LORENA GUTIÉRREZ FERNÁNDEZ;EDITORIAL EDITABOR;3;21,00;19,95;63,00;
'9788410163621;TRONO DE CRISTAL (EDICION ESPECIAL LIMITADA);J. MAAS, SARAH;EDITORIAL HIDRA;3;26,50;25,17;79,50;
'9788417742447;CANCIONES Y NANAS DE AMÉRICA LATINA;GROSLÉZIAT, CHANTAL;EDITORIAL KÓKINOS;3;25,00;23,75;75,00;
'9788496629530;CANCIONES Y NANAS DE BABUSHKA;SOUSSANA,N;EDITORIAL KÓKINOS;2;25,00;23,75;50,00;
'9788419475022;¡VAMOS! ¡ENTRA!;JAMIE MICHALAK;EDITORIAL KÓKINOS;2;16,50;15,67;33,00;
'9788417074159;LA DECLARACIÓN UNIVERSAL DE DERECHOS HUMANOS;FIESS, J-M;EDITORIAL KÓKINOS;2;14,50;13,77;29,00;
'9788496629172;BLANCANIEVES;POOLE, JOSEPHINE;EDITORIAL KÓKINOS;2;13,00;12,35;26,00;
'9788416126064;LOS REYES MAGOS;ESCHNER, GÉRALDINE;EDITORIAL KÓKINOS;2;11,90;11,30;23,80;
'9788412757002;INCURSORAS,LAS;"GARRALON,ANA;";EDITORIAL LAS AFUERAS;3;17,95;17,05;53,85;
'9788412244014;DIARIO PINCHADO  2ªED;HALFON,MERCEDES;EDITORIAL LAS AFUERAS;3;15,95;15,15;47,85;
'9788412894318;UN LUGAR SEGURO (NE);TEROBA, OLIVIA;EDITORIAL LAS AFUERAS;3;15,95;15,15;47,85;
'9788412408164;MEMORIAS DE UNA BEATNIK 4ªED;DI PRIMA,DIANE;EDITORIAL LAS AFUERAS;2;18,95;18,00;37,90;
'9788412757026;SOY TODA OIDOS;HYE-JIN, KIM;EDITORIAL LAS AFUERAS;2;18,95;18,00;37,90;
'9788412145748;AZARES DEL CUERPO;OSPINA PIZANO,MARIA;EDITORIAL LAS AFUERAS;2;16,95;16,10;33,90;
'9788494983702;MEJORES DIAS,LOS 2ªED;ETCHEBARNE,MAGALI;EDITORIAL LAS AFUERAS;2;16,95;16,10;33,90;
'9788412145786;POR QUE VOLVIAS CADA VERANO 2ªED;LOPEZ PEIRO,BELEN;EDITORIAL LAS AFUERAS;2;15,95;15,15;31,90;
'9788494983764;16 DE OCTUBRE DE 1943;DEBENEDETTI,GIACOMO;EDITORIAL LAS AFUERAS;2;15,95;15,15;31,90;
'9788412408126;HOMBRE QUE PERDIO LA CABEZA,EL;WALSER,ROBERT;EDITORIAL LAS AFUERAS;2;14,96;14,21;29,92;
'9788412480252;PIÑEN;CATRILEO, DANIELA;EDITORIAL LAS AFUERAS;2;14,96;14,21;29,92;
'9788412591125;UNA ESCRITORA EN EL TIEMPO;LAZARRE, JANE;EDITORIAL LAS AFUERAS;2;13,95;13,25;27,90;
'9788412145724;MADRE SOLTERA;YUSZCZUK,MARINA;EDITORIAL LAS AFUERAS;2;11,95;11,35;23,90;
'9788467079265;CARA DE CRIMEN;WILLIAM GONZÁLEZ GUEVARA;EDITORIAL PLANETA;2;15,90;15,11;31,80;
'9791399121773;AQUILES EN OPORTO;ALICIA LOUZAO;EDITORIAL PÁRAMO;2;12,00;11,40;24,00;
'9788416677351;CANTOS 3ªED;POUND,EZRA;EDITORIAL SEXTO PISO;2;39,90;37,90;79,80;
'9788410249165;MIS FANTASMAS;RILEY, GWENDOLINE;EDITORIAL SEXTO PISO;4;19,90;18,90;79,60;
'9788496867161;MEMORIAS DE UN ENFERMO DE NERVIOS 3ªED;PAUL SCHREBER,DANIEL;EDITORIAL SEXTO PISO;2;35,00;33,25;70,00;
'9788417517519;DESIERTO SONORO 6ªED;LUISELLI,VALERIA;EDITORIAL SEXTO PISO;3;22,90;21,75;68,70;
'9788418342875;AMANTE DE WITTGENSTEIN, LA 3ªED;MARKSON , DAVID;EDITORIAL SEXTO PISO;3;21,90;20,80;65,70;
'9788415601890;ESO 2ªED;CHRISTENSEN,INGER;EDITORIAL SEXTO PISO;2;29,90;28,40;59,80;
'9788417517854;MANO DE LA BUENA FORTUNA,LA - NE 2020;PETROVIC,GORAN;EDITORIAL SEXTO PISO;3;19,90;18,90;59,70;
'9788419261151;CHICOS DE HIDDEN VALLEY ROAD, LOS 2ªED;KOLKER, ROBERT;EDITORIAL SEXTO PISO;2;23,90;22,70;47,80;
'9788419261762;FE ESPERANZA Y CARNICERIA;CAVE, NICK;EDITORIAL SEXTO PISO;2;23,90;22,70;47,80;
'9786079436377;POR BREVE HERIDA;GLANTZ,MARGO;EDITORIAL SEXTO PISO;2;22,90;21,75;45,80;
'9788410249158;NUEVOS LEVIATANES, LOS;GRAY, JOHN;EDITORIAL SEXTO PISO;2;20,90;19,85;41,80;
'9786078619382;NOCHE EN EL ESPEJO, LA;DOMINGO, CLAUDINA;EDITORIAL SEXTO PISO;2;19,90;18,90;39,80;
'9786078895021;FERAL;JAUREGUI, GABRIELA;EDITORIAL SEXTO PISO;2;19,90;18,90;39,80;
'9788410249295;ESTE MUNDO CIEGO;WARD, JESMYN;EDITORIAL SEXTO PISO;2;19,90;18,90;39,80;
'9788416677818;ROZA TUMBA QUEMA 2ªED;HERNANDEZ,CLAUDIA;EDITORIAL SEXTO PISO;2;19,90;18,90;39,80;
'9788418342011;LO QUE QUEDA DE LUZ 4ªED;HADLEY,TESSA;EDITORIAL SEXTO PISO;2;19,90;18,90;39,80;
'9788419261564;LENGUA DORMIDA;FELIX,FRANCO;EDITORIAL SEXTO PISO;2;19,90;18,90;39,80;
'9788416358267;FORMA INICIAL,LA;PIGLIA,RICARDO;EDITORIAL SEXTO PISO;2;19,00;18,05;38,00;
'9788410249028;DESDE LOS ZULOS;DE LA CERDA, DAHLIA;EDITORIAL SEXTO PISO;2;18,90;17,95;37,80;
'9788416677979;NERVIO PRINCIPAL,EL;SALDA¥A PARIS,DANIEL;EDITORIAL SEXTO PISO;2;18,90;17,95;37,80;
'9788418342141;CUENTAS PENDIENTES 2ªED;GORNICK,VIVIAN;EDITORIAL SEXTO PISO;2;18,90;17,95;37,80;
'9788418342714;CENIZA EN LA BOCA 6ªED;NAVARRO,BRENDA;EDITORIAL SEXTO PISO;2;18,90;17,95;37,80;
'9786079436315;YAKARTA;MARQUEZ TIZANO,RODRIGO;EDITORIAL SEXTO PISO;2;17,90;17,00;35,80;
'9786079436353;MADRES Y PERROS;MORABITO,FABIO;EDITORIAL SEXTO PISO;2;17,90;17,00;35,80;
'9786079436650;ENEMIGAS,LAS;DOMINGO,CLAUDINA;EDITORIAL SEXTO PISO;2;17,90;17,00;35,80;
'9786079436889;Y POR MIRARLO TODO NADA VEIA;GLANTZ,MARGO;EDITORIAL SEXTO PISO;2;17,90;17,00;35,80;
'9788410249127;ZOZOBRA;MOLINARD, BARBARA;EDITORIAL SEXTO PISO;2;17,90;17,00;35,80;
'9788419261298;PERRAS DE RESERVA 3ªED;DE LA CERDA,DAHLIA;EDITORIAL SEXTO PISO;2;17,90;17,00;35,80;
'9786077781615;HISTORIA DE MIS DIENTES,LA 3ªED;LUISELLI,VALERIA;EDITORIAL SEXTO PISO;2;17,00;16,15;34,00;
'9788416677481;NIÑOS PERDIDOS,LOS - 5ªED;LUISELLI,VALERIA;EDITORIAL SEXTO PISO;2;17,00;16,15;34,00;
'9788496867246;DE SANGRE Y DE SOL;GONZALEZ RODRIGUEZ,SERGIO;EDITORIAL SEXTO PISO;2;17,00;16,15;34,00;
'9788417517168;TSUNAMI MEXICO;JAUREGUI,GABRIELA;EDITORIAL SEXTO PISO;2;16,90;16,05;33,80;
'9788417517649;CASAS VACIAS 7ªED;NAVARRO,BRENDA;EDITORIAL SEXTO PISO;2;16,90;16,05;33,80;
'9788418342769;UN FUTURO ANTERIOR;LIBERTELLA,MAURO;EDITORIAL SEXTO PISO;2;16,90;16,05;33,80;
'9788419261137;UNA OPORTUNIDAD;KATCHADJIAN, PABLO;EDITORIAL SEXTO PISO;2;16,90;16,05;33,80;
'9788419261601;LUZ DIFICIL,LA 2ªED;GONZALEZ, TOMAS;EDITORIAL SEXTO PISO;2;16,90;16,05;33,80;
'9788416677092;LUZ IMPRONUNCIABLE,LA;KAVI,ERNESTO;EDITORIAL SEXTO PISO;2;16,00;15,20;32,00;
'9788416677856;PISTAS FALSAS;GARCIA CANCLINI,NESTOR;EDITORIAL SEXTO PISO;2;15,90;15,11;31,80;
'9788496867895;INGRAVIDOS,LOS 7ªED;LUISELLI,VALERIA;EDITORIAL SEXTO PISO;2;15,90;15,11;31,80;
'9786079436964;VIRUS TROPICAL 2ªED;PAOLA,POWER;EDITORIAL SEXTO PISO;2;14,90;14,15;29,80;
'9788418342042;PAPELES FALSOS - NE;LUISELLI,VALERIA;EDITORIAL SEXTO PISO;2;14,90;14,15;29,80;
'9788418342530;FILOSOFIA FELINA / LOS GATOS Y EL SENTIDO DE LA VI;GRAY,JOHN;EDITORIAL SEXTO PISO;2;14,90;14,15;29,80;
'9788412440164;FLORES PARTICULARES;ECKERT, NORA;EDITORIAL TRÁNSITO;2;21,90;20,80;43,80;
'9788412652802;LA MANO QUE CURA;PARRA OCHOA, LINA MARÍA;EDITORIAL TRÁNSITO;2;19,50;18,52;39,00;
'9788412440119;ENTRE LOS ROTOS;VENTURA MEDINA, ALAÍDE;EDITORIAL TRÁNSITO;2;18,90;17,95;37,80;
'9788412603958;GENERACIONES;CLIFTON, LUCILLE;EDITORIAL TRÁNSITO;2;18,00;17,10;36,00;
'9788412862652;AUTOBIOGRAFÍA AUTORIZADA;CANYELLES, NEUS;EDITORIAL TRÁNSITO;2;17,00;16,15;34,00;
'9788412652826;MALDENIÑA;SALAZAR MASSO, LORENA;EDITORIAL TRÁNSITO;2;16,90;16,05;33,80;
'9788412198089;UNA FAMILIA EN BRUSELAS;AKERMAN, CHANTAL;EDITORIAL TRÁNSITO;2;14,90;14,15;29,80;
'9788490747308;LA GRIETA;REINALDO ESCOBAR;EDITORIAL VERBUM;7;19,95;18,95;139,65;
'9788411360944;TEATRO;YUNIOR GARCÍA AGUILERA;EDITORIAL VERBUM;2;18,90;17,95;37,80;
'9788419158772;UNA MUJER AFORTUNADA. HISTORIA DE UNA MEDICA RURAL;MORLAND, POLLY;ERRATA NATURAE EDITORES;2;23,00;21,85;46,00;
'9788494833199;CLAUSEWITZ Y YO;CARLOS A. AGUILERA;ESTO NO ES BERLÍN EDICIONES;2;14,00;13,30;28,00;
'9788419988508;QUICKSILVER SAGA ALQUIMIA & FAE VOL 1 1ªED;HART, CALLIE;FAERIS EDITORIAL;10;23,95;22,75;239,50;
'9788412386196;LIBRO-DIORAMA DE LOS ÁRBOLES, EL;MARSH, STEVE;FOLIOSCOPIO;2;24,00;22,80;48,00;
'9788412712209;LIBRO-DIORAMA DE LAS AVES, EL;MERRITT, MATT;FOLIOSCOPIO;2;24,00;22,80;48,00;
'9788417088057;MAESTRO DE LAS SENSACIONES, UN;IBÁÑEZ, ANDRÉS;GALAXIA GUTENBERG;2;22,00;20,90;44,00;
'9788419738646;CAMPESINOS Y SEÑORES;KALLIFATIDES, THEODOR;GALAXIA GUTENBERG;2;19,50;18,52;39,00;
'9788410107069;PAZ CRUEL, UNA;KALLIFATIDES, THEODOR;GALAXIA GUTENBERG;2;19,00;18,05;38,00;
'9788419738912;ARADO Y LA ESPADA, EL;KALLIFATIDES, THEODOR;GALAXIA GUTENBERG;2;19,00;18,05;38,00;
'9788419392343;ATILA;COLL, ALIOCHA;GALAXIA GUTENBERG;2;18,50;17,57;37,00;
'9788417971632;NUNCA PREGUNTES SU NOMBRE A UN PÁJARO;IBÁÑEZ, ANDRÉS;GALAXIA GUTENBERG;2;17,90;17,00;35,80;
'9791387605049;MUJER A QUIEN AMAR, UNA;KALLIFATIDES, THEODOR;GALAXIA GUTENBERG;2;16,90;16,05;33,80;
'9788483564677;SIN SALIDA;SALUD HERNANDEZ-MORA;GALIUS;4;10,00;9,50;40,00;
'9798833037546;CONCIERTO MAMBÍ;GLEYVIS CORO MONTANET;GATA ENCERRADA;10;15,00;14,25;150,00;
'9788412804683;PEQUEÑO ROBIN Y LA NAVIDAD, EL;FEARNLEY, JAN;GRIBAUDO;2;16,90;16,05;33,80;
'9791388034824;MINIONS & MONSTERS.;LEWMAN, DAVID;HACHETTE;2;9,95;9,45;19,90;
'9788490022627;EL SPLEEN DE PARÍS;CHARLES BAUDELAIRE;HIPERIÓN;2;18,95;18,00;37,90;
'9788475177670;LOS SONETOS A ORFEO;RAINER MARÍA RILKE;HIPERIÓN;2;13,95;13,25;27,90;
'9788490022368;ESTA SERÁ MI VENGANZA;WILLIAM GONZÁLEZ GUEVARA;HIPERIÓN;2;12,95;12,30;25,90;
'9781734602715;EL OCTAVO DÍA;RAFAEL ALMANZA;HOMAGNO;6;15,00;14,25;90,00;
'9798649674614;QUÉ DIJERON LOS ANIMALES;JORGE LUIS PORRATA;HOMAGNO;8;10,00;9,50;80,00;
'9781450745444;HYMNOS;RAFAEL ALMANZA;HOMAGNO;3;25,00;23,75;75,00;
'9780578530956;COROLARIOS;MARIO RAMÍREZ MÉNDEZ;HOMAGNO;2;15,00;14,25;30,00;
'9780972746700;LIBRO DE JÓVENO;RAFAEL ALMANZA ALONSO;HOMAGNO;2;15,00;14,25;30,00;
'9780972746717;EL GRAN CAMINO DE LA VIDA;RAFAEL ALMANZA ALONSO;HOMAGNO;2;15,00;14,25;30,00;
'9781469956817;EL ETERNO EXTRANJERO;CARLOS MANRESA;HOMAGNO;2;10,00;9,50;20,00;
'9781490522166;LAS ISLAS DE TU CUERPO;CARLOS SOTUYO;HOMAGNO;2;10,00;9,50;20,00;
'9798714849183;SIMBIONTES;CARLOS MANRESA GONZÁLEZ;HOMAGNO;2;10,00;9,50;20,00;
'9788412283235;LOS DESPERFECTOS;PUJADAS, IRENE;HURTADO Y ORTEGA EDITORES H&O;2;18,00;17,10;36,00;
'9788412283266;EL MATRIMONIO ANARQUISTA;MÉNDEZ, BEGOÑA;HURTADO Y ORTEGA EDITORES H&O;2;18,00;17,10;36,00;
'9788412154993;IN MEMORIAM;DE ELCHE, NIÑO;HURTADO Y ORTEGA EDITORES H&O;2;17,00;16,15;34,00;
'9788494591655;EUROPA;BARGELD, BLIXA;HURTADO Y ORTEGA EDITORES H&O;2;14,00;13,30;28,00;
'9788412122329;ELIZABETH AÚN JUEGA A LAS MUÑECAS;;HURÓN AZUL;4;16,00;15,20;64,00;
'9788412122381;DISTOPÍA TROPICAL;ERICK J. MOTA;HURÓN AZUL;2;16,00;15,20;32,00;
'9788412379808;CUADERNOS CARCELARIOS;JORGE CARPIO;HURÓN AZUL;2;16,00;15,20;32,00;
'9788412379815;DEL CUERPO Y LA NOCHE INSULAR;JOSÉ ANTONIO MICHELENA;HURÓN AZUL;2;16,00;15,20;32,00;
'9788412379853;SALA-R;LYNN CRUZ;HURÓN AZUL;2;16,00;15,20;32,00;
'9781948517294;CUBA QUEER;ERNESTO FUNDORA;HYPERMEDIA EDICIONES;3;30,00;28,50;90,00;
'9781948517911;RUSIA: EL REGRESO DE LA POTENCIA;DAVID TEURTRIE;HYPERMEDIA EDICIONES;3;19,00;18,05;57,00;
'9781544011080;PARA MATAR A ROBIN HOOD;NÉSTOR DÍAZ DE VILLEGAS;HYPERMEDIA EDICIONES;3;17,00;16,15;51,00;
'9788415130307;NOSTALGIA 9ªED;CARTARESCU,MIRCEA;IMPEDIMENTA;2;24,95;23,70;49,90;
'9791387641030;JARDINERO Y LA MUERTE, EL 5ªED;GOSPODINOV, GUEORGUI;IMPEDIMENTA;2;22,95;21,80;45,90;
'9788417115999;CORAZON QUE RIE CORAZON QUE LLORA 6ªED;CONDE,MARYSE;IMPEDIMENTA;2;20,50;19,47;41,00;
'9788409747566;EL ENCAUZADOR DE ESPÍRITUS;JORGE DAZA;JORGE DAZA;3;15,95;15,15;47,85;
'9788468582016;EL AÑO DE LA RANA;JOSÉ MARÍA BARRADO;JOSÉ MARÍA BARRADO;3;17,00;16,15;51,00;
'9798864207864;POR LOS PIES ENTRA LA MUERTE;KARLA RON ARÉVALO;KARLA RON ARÉVALO;10;10,00;9,50;100,00;
'9798335262750;HERBARIO II;DASHEL HERNÁNDEZ;KÝRNE;3;17,00;16,15;51,00;
'9798857895962;HERBARIO I;DASHEL HERNÁNDEZ;KÝRNE;3;17,00;16,15;51,00;
'9788477743057;LA FRAGILIDAD DEL BIEN;NUSSBAUM, MARTHA CRAVEN;LA BALSA DE LA MEDUSA;2;27,90;26,50;55,80;
'9788494800795;PHANTASMAGORIA;TORRES, SARA;LA BELLA VARSOVIA;2;12,90;12,25;25,80;
'9788412880021;LAS CAMINANTES;VVAA;LA NIÑA AZUL;2;14,20;13,49;28,40;
'9788412902181;DEBAJO DE LA MESA;ABREU, JUAN;LADERA NORTE;2;22,90;21,75;45,80;
'9788412809527;CINCO APORTACIONES DE ESPAÑA AL HUMANISMO;SALAFRANCA, ALEJANDRO;LADERA NORTE;2;19,90;18,90;39,80;
'9788412850161;LOS POZOS DE LA NIEVE;VIAS MAHOU, BERTA;LADERA NORTE;2;19,90;18,90;39,80;
'9788412115215;NUESTRAS PALABRAS;VARIOS AUTORES;LADERA NORTE;2;14,90;14,15;29,80;
'9788419250650;PAN CASERO;YARZA, IBÁN;LAROUSSE;2;23,95;22,75;47,90;
'9788410124141;¡SAL A JUGAR!;PONS-MESMAN, CLARA;LAROUSSE;2;19,95;18,95;39,90;
'9788410124547;CRIANZA ACTIVA. 0-3 AÑOS;KURTIN, NORA;LAROUSSE;2;19,95;18,95;39,90;
'9791399147957;YO NI SIQUIERA ERA MADRE;ARRIBAS DELGADO,ELENA;LASTURA EDICIONES;2;18,00;17,10;36,00;
'9788412582000;LOS GIRASOLES EN INVIERNO;ÁNGEL, ALBALUCÍA;LAVA;2;19,90;18,90;39,80;
'9798307467138;EL INGENUO;;LEGADO FONTICIELLA;3;12,00;11,40;36,00;
'9789200041280;LA DEMOCRACIA NO DEBE ESPERAR (FEB 2025);LETRAS LIBRES;LETRAS LIBRES;3;5,00;4,75;15,00;
'9789200042478;LETRAS LIBRES;;LETRAS LIBRES;3;5,00;4,75;15,00;
'9789200043369;LETRAS LIBRES;;LETRAS LIBRES;3;5,00;4,75;15,00;
'9789200043994;LETRAS LIBRES;;LETRAS LIBRES;3;5,00;4,75;15,00;
'9788493591465;PENTATEUCO DE ISAAC,EL 8ªED;WAGENSTEIN,ANGEL;LIBROS DEL ASTEROIDE;3;18,95;18,00;56,85;
'9788492663040;CUATRO HERMANAS 7ªED;CARLETON,JETTA;LIBROS DEL ASTEROIDE;2;21,95;20,85;43,90;
'9788410178168;EXTRAÑADOS,LOS;FREIRE,JORGE;LIBROS DEL ASTEROIDE;2;18,95;18,00;37,90;
'9788419089236;14 DE ABRIL 6ªED;CERDA, PACO;LIBROS DEL ASTEROIDE;2;18,95;18,00;37,90;
'9788426426307;DÍAS DE FANTASMAS;JEANETTE WINTERSON;LUMEN;2;21,90;20,80;43,80;
'9788582341216;LA SANGRE DEL POETA;NÉSTOR DÍAZ DE VILLEGAS;LUMME EDITOR;3;8,00;7,60;24,00;
'9788419964069;JULIO CORTAZAR Y CRIS;PERI ROSSI, CRISTINA;MENOSCUARTO EDICIONES;2;15,90;15,11;31,80;
'9788427208742;DIARIO DE GREG 9 CARRETERA Y MANTA;KINNEY, JEFF;MOLINO;2;15,95;15,15;31,90;
'9788427234314;DIARIO DE GREG 18 - DESCEREBRADOS;JEFF KINNEY;MOLINO;2;15,95;15,15;31,90;
'9788427242760;DIARIO DE GREG 19 - EN SU SALSA;JEFF KINNEY;MOLINO;2;15,95;15,15;31,90;
'9788418483189;APRENDER A LEER EN LA ESCUELA DE MONSTRUOS 1 LA MA;"MAR ;BENEGAS";MONTENA;2;7,95;7,55;15,90;
'9786079644895;ARS CIVITAS;HENRY ERIC HERNÁNDEZ Y DONOVAN HERNÁNDEZ CASTELLANOS;NEANDERTHAL;4;15,00;14,25;60,00;
'9798218480264;SELECTED PAINTINGS;NELSON JALIL;NELSON JALIL;4;39,00;37,05;156,00;
'9791387575496;MENSAJERA,LA;STUART,ANNA;NEWTON COMPTON EDITORES;2;12,90;12,25;25,80;
'9788418451898;GUIA FILMAFFINITY,LA 4ªED;FILMAFFINITY;NÓRDICA LIBROS;3;29,95;28,45;89,85;
'9788410200647;AVENTURAS DE PINOCHO, LAS;COLLODI, CARLO;NÓRDICA LIBROS;2;29,50;28,02;59,00;
'9788410200609;BIBLIOTECA PUBLICA;SMITH, ALI;NÓRDICA LIBROS;2;19,50;18,52;39,00;
'9788410171039;ANTONIO;BRACHER, BEATRIZ;PERIFÉRICA;4;19,50;18,52;78,00;
'9788419135407;A LA CAZA DE LOS REYES MAGOS;S. VARELA, EMMA;PIJAMA BOOKS;2;19,95;18,95;39,90;
'9788401032769;SI TE GUSTA LA OSCURIDAD;KING, STEPHEN;PLAZA&JANES;3;24,90;23,65;74,70;
'9788483933862;EXILIO;OBLIGADO, CLARA;PÁGINAS DE ESPUMA SL;2;20,00;19,00;40,00;
'9788411325424;REY Y EL RELOJERO, EL;INDRIDASON, ARNALDUR;RBA;2;22,90;21,75;45,80;
'9788410340657;LIBRO DE MIS VIDAS;MARGARET ATWOOD;SALAMANDRA;2;27,00;25,65;54,00;
'9788412511154;VICTORIOSA;SARID, YISHAI;SIGILO EDITORIAL;2;21,95;20,85;43,90;
'9788412699081;EL POETA DE GAZA;SARID, YISHAI;SIGILO EDITORIAL;2;20,95;19,90;41,90;
'9788412699074;EL HECHIZO DEL VERANO;HIGA, VIRGINIA;SIGILO EDITORIAL;2;18,00;17,10;36,00;
'9788412816082;LOS SORRENTINOS;HIGA, VIRGINIA;SIGILO EDITORIAL;2;18,00;17,10;36,00;
'9788410183360;NAVIDADES DE MIEDO;"CHARLES DICKENS;NATHANIEL HAWTHORNE;JOSEPH SHERIDAN LE FANU;GUY DE MAUPASSANT;BENITO PÉREZ GALDÓS;EMILIA PARDO BAZÁN";SIRUELA;4;23,95;22,75;95,80;
'9788410183285;LA MUERTE DE ARTURO;MALORY, SIR THOMAS;SIRUELA;2;36,00;34,20;72,00;
'9788419419064;IMPERIOFOBIA Y LEYENDA NEGRA;ROCA BAREA, ELVIRA;SIRUELA;2;29,95;28,45;59,90;
'9788410183407;BRUJERÍA;GIBSON, MARION;SIRUELA;2;26,00;24,70;52,00;
'9791387688547;TODOS LOS CUENTOS;LISPECTOR, CLARICE;SIRUELA;2;26,00;24,70;52,00;
'9788419553508;VIDA Y VISIONES DE HILDEGARD VON BINGEN;"VON BINGEN, HILDEGARD;VON ESCHENBACH, WOLFRAM";SIRUELA;2;22,95;21,80;45,90;
'9788410183346;EL INVENTOR DE VIAJES;VALLEJO, IRENE;SIRUELA;2;21,95;20,85;43,90;
'9788410415607;LA BIBLIOTECA DESAPARECIDA;CANFORA, LUCIANO;SIRUELA;2;19,95;18,95;39,90;
'9788498411263;EL OJO DE JADE;"WEI LIANG,D; WEI LIANG, DIANE";SIRUELA;2;18,90;17,95;37,80;
'9791387688783;LAS FRONTERAS;SARMIENTO, CAROLINA;SIRUELA;2;15,95;15,15;31,90;
'9788418245886;EL CUARTO DE ATRÁS;MARTÍN GAITE, CARMEN;SIRUELA;2;14,90;14,15;29,80;
'9788478445417;NOSTALGIA DEL ABSOLUTO;STEINER, GEORGE;SIRUELA;2;12,95;12,30;25,90;
'9788491299790;EL SUSURRO DEL FUEGO;CASTILLO, JAVIER;SUMA DE LETRAS;2;22,90;21,75;45,80;
'9788430953837;DE ÉTICA Y POLÍTICA;"LÁZARO CANTERO, RAQUEL;ALVIRA, RAFAEL;CALLEJA, TOMÁS;Y OTROS";TECNOS;4;28,50;27,07;114,00;
'9788430990320;PENSAR CRISISPOL.ESP.CON;"ROBLES EGEA, ANTONIO;MENÉNDEZ ALZAMORA, MANUEL;ÁLVAREZ DE DOMPABLO, JEDIAEL;Y OTROS";TECNOS;2;33,95;32,25;67,90;
'9788430955305;ESTUDIOS DE COMUNICACION;"SANDERS, KAREN;CANEL CRESPO, MARÍA JOSÉ;CAPDEVILA, ARANTXA;Y OTROS";TECNOS;2;29,50;28,02;59,00;
'9788430969128;EL PENSAMIENTO POLÍTICO;GONZÁLEZ CUEVAS, PEDRO CARLOS;TECNOS;2;28,50;27,07;57,00;
