EAN;Título;Autor;Editorial;Ejemplares;PVP;Valor total;Hecho
'9788413625614;FASCISMOS IBERAMERICANOS;"LIMA GRECCO, GABRIELA DE;";ALIANZA EDITORIAL;1;23,95;23,95;
'9788491812081;LA VIDA REAL EN TIEMPOS;"SÁNCHEZ, JOSÉ CARLOS;PÉREZ";ALIANZA EDITORIAL;1;22,95;22,95;
'9788411488716;AZORÍN;FUSTER, FRANCISCO;ALIANZA EDITORIAL;1;22,50;22,50;
'9788420647685;AFRONTANDO LA VIDA, ESPE;BAYÉS, RAMÓN;ALIANZA EDITORIAL;1;21,95;21,95;
'9788491818090;EL AROMA DE LOS LIBROS (;ICARDI, DESY;ALIANZA EDITORIAL;1;21,95;21,95;
'9788413626338;EL MITO DEL CEREBRO CREA;PÉREZ ÁLVAREZ, MARINO;ALIANZA EDITORIAL;1;21,95;21,95;
'9788411483056;INFÍNIX [CÓMIC];SCHAFER, LAURENT;ALIANZA EDITORIAL;1;21,95;21,95;
'9788411482752;TESTIMONIO. VIVIENDO HIS;CASTELLS, MANUEL;ALIANZA EDITORIAL;1;20,95;20,95;
'9788411483117;LOS CONSERVADORES Y LA R;DELGADO-GAL, ÁLVARO;ALIANZA EDITORIAL;1;20,95;20,95;
'9788411484626;LA HISTORIA EN RUINAS;TENORIO TRILLO, MAURICIO;ALIANZA EDITORIAL;1;20,95;20,95;
'9788491814443;EL CLAMOR DE LOS BOSQUES;POWERS, RICHARD;ALIANZA EDITORIAL;1;20,50;20,50;
'9788413628325;LA MENTE DE LA TRIBU;AGUADO, LUIS;ALIANZA EDITORIAL;1;19,95;19,95;
'9788491043881;CIENCIA DE LA COMPASIÓN;"GARCÍA-CAMPAYO, JAVIER;";ALIANZA EDITORIAL;1;19,95;19,95;
'9788411484091;LO NUESTRO (ADN);LLAMAS, ENRIQUE;ALIANZA EDITORIAL;1;19,95;19,95;
'9788413629803;EL PROCESO DE R.LANZAADN;MENÉNDEZ, RONALDO;ALIANZA EDITORIAL;1;19,95;19,95;
'9788411481601;LOS DÍAS FELICES (ADN);OLMO, BENITO;ALIANZA EDITORIAL;1;19,95;19,95;
'9788411481441;UNA MADRE (ADN);PAREJO, ALEJANDRA;ALIANZA EDITORIAL;1;19,95;19,95;
'9788411481540;FELICES COMO BESTIAS;PINILLOS, DIEGO;ALIANZA EDITORIAL;1;19,95;19,95;
'9788413620558;PÁJARO DEL NOROESTE (ADN;RIEGO ANTA, MARTA DEL;ALIANZA EDITORIAL;1;19,95;19,95;
'9788491042655;DOMANDO AL DRAGÓN;"SEVILLÁ GASCÓ, JUAN;PASTOR";ALIANZA EDITORIAL;1;19,95;19,95;
