EAN;Título;Autor;Editorial;Stk. Total;Stock eur;PVP
9788410346017;ANNIE LUMSDEN, LA NIÑA DEL MAR;"ALEMAGNA, BEATRICE;ALMOND,";DUOMO EDICIONES;1;14,90;14,90
9788417821784;LIDERAZGO / LEADING;"ALEX FERGUSON;MICHAEL";ROCABOLSILLO;1;10,95;10,95
9788420435503;PACIENTE SILENCIOSA, LA;ALEX MICHAELIDES;ALFAGUARA;1;21,90;21,90
9788410433335;LOS MUCHACHOS DE ZINC;ALEXIEVICH, SVETLANA;DEBATE;1;22,90;22,90
9788412573497;MASCARILLA Y TRÉBOL;ALFONSINA STORNI;TUSQUETS EDITORES;1;6,00;6,00
9798986510439;DIAGNÓSTICO INCIERTO;ALFREDO ALONSO ESTENOZ;ALFREDO ALONSO ESTENOZ;2;36,00;18,00
9798879149371;BARBEY DÁUREVILLY;ALFREDO TRIFF;EDITORIAL CASA VACÍA;9;108,00;12,00
9788419620163;LA PEQUEÑA TIENDA DE LOS CORAZONES FELICES;ALI MCNAMARA;NEWTON COMPTON EDITORES;1;12,90;12,90
9788411483247;LA MUJER DE PIEDRA;ALI, TARIQ;ALIANZA EDITORIAL;2;31,90;15,95
9788411484602;WINSTON CHURCHILL;ALI, TARIQ;ALIANZA EDITORIAL;1;27,90;27,90
9788423364466;LA MUJER FUGITIVA;ALICIA GIMENEZ BARTLETT;EDICIONES DESTINO;2;39,80;19,90
9788412492309;259 SALTOS, UNO INMORTAL;ALICIA KOZAMEH;BARBARIE EDITORA;1;15,90;15,90
9788401032004;EL VIENTO CONOCE MI NOMBRE;ALLENDE, ISABEL;PLAZA&JANES;1;22,90;22,90
9788419511379;PERLA, LA SÚPER PERRITA;ALLENDE, ISABEL;PENGUIN KIDS;1;17,95;17,95
9788419043436;PAELLA;ALLIBHOY,OMAR;CINCO TINTAS;1;24,95;24,95
9788490667798;LOS PACIENTES DEL DOCTOR GARCÍA;ALMUDENA GRANDES;TUSQUETS EDITORES;1;12,95;12,95
9788411071734;TODO VA A MEJORAR;ALMUDENA GRANDES;TUSQUETS EDITORES;1;21,90;21,90
9788411070553;LA MADRE DE FRANKENSTEIN;ALMUDENA GRANDES;TUSQUETS EDITORES;1;12,95;12,95
9788483103739;EL CORAZON HELADO;ALMUDENA GRANDES;TUSQUETS EDITORES;1;25,00;25,00
9788420688893;DISEÑO DE EXPOSICIONES;"ALONSO FERNÁNDEZ, LUIS;";ALIANZA EDITORIAL;2;47,90;23,95
9788414315415;LOS CUENTOS DE LOLA;ALONSO, ANA;ANAYA INFANTIL Y JUVENIL;1;16,95;16,95
9788475228198;EL CABALLO GRIEGO;ALTOLAGUIRRE, MANUEL;VISOR;2;32,00;16,00
9788416677955;CAIDOS,LOS;ALVAREZ RODRIGUEZ,CARLOS;EDITORIAL SEXTO PISO;1;15,90;15,90
9788413626901;MUERDEALMAS (ADN);ÁLVAREZ, SANTIAGO;ALIANZA EDITORIAL;1;18,95;18,95
9788418342288;FALSA GUERRA;ALVAREZ,CARLOS MANUEL;EDITORIAL SEXTO PISO;1;18,90;18,90
9789200041396;SANTANDER, 1936;ÁLVARO POMBO;LAURA TEDESCO;1;6,00;6,00
9788410060593;TEBANAS;ÁLVARO TATO;EDICIONES ANTÍGONA;1;16,50;16,50
9788437638515;NI PUTAS NI SUMISAS;AMARA, FADELA;EDICIONES CÁTEDRA;1;18,50;18,50
9788418504693;EN OTRO PAIS;"AMARO,LORENA;BADILLO,CARLA;C";CANDAYA,S.L;1;17,00;17,00
9788412070910;ANTOLOGIA DE POETAS LAUREADOS ESTADOUNIDENSES;AMBROGGIO,LUIS ALBERTO;VASO ROTO EDICIONES;1;24,00;24,00
9788437647777;TODO POR LA CORONA;AMESTOY, IGNACIO;EDICIONES CÁTEDRA;1;18,95;18,95
9788437615530;TIEMPO DE FEMINISMO;AMORÓS, CELIA;EDICIONES CÁTEDRA;2;43,90;21,95
9788483460016;NO DIGAS NOCHE;AMOS OZ;LAURA TEDESCO;1;6,00;6,00
9788425365133;LA CASA DE HUÉSPEDES;ANA LENA RIVERA;GRIJALBO;1;24,90;24,90
9788448864255;LA CASA DE LOS NÚMEROS;ANA PUNSET;BEASCOA;1;15,95;15,95
9788416495672;LOS TYRAKIS;ANA R. CAÑIL Y JOAQUÍN;TUSQUETS EDITORES;1;5,00;5,00
9788419555403;EL DISEÑO DE SENTIDO;ANALÍA CERVINI;EXPERIMENTA;19;475,00;25,00
9788419686701;UNA HISTORIA DE ALMAS GEMELAS;ANASHIN;DISTRITO MANGA;1;9,95;9,95
9788410183421;UN TRABAJO DE HOMBRES;ANDERSON, EDITH;SIRUELA;1;24,95;24,95
9788498388244;EL HOMENAJE;ANDREA CAMILLERI;TUSQUETS EDITORES;1;4,00;4,00
9788417417697;JARROA;"ANDREA FERNÁNDEZ PLATA;";CABALLO DE TROYA;1;15,90;15,90
9788410138308;CUIDAR DE ELLA;ANDREA, JEAN-BAPTISTE;ADN EDITORIAL GRUPO ANAYA;2;47,90;23,95
9788421683125;LAS JIRAFAS NO PUEDEN BA;ANDREAE, GILES;EDITORIAL BRUÑO;1;20,50;20,50
9789500752305;UNA OVEJA NEGRA AL PODER;ANDRÉS DANZA / ERNESTO;TUSQUETS EDITORES;1;7,00;7,00
9789876145541;EL OFICIO MÁS ANTIGUO DEL MUNDO;ANDRÉS MALAMUD;TUSQUETS EDITORES;1;5,00;5,00
9788490560983;RECOMPONER LA DEMOCRACIA;ANDRES ORTEGA;LAURA TEDESCO;1;6,00;6,00
9789505111381;LA REVOLUCIÓN ES UN SUEÑO ETERNO;ANDRÉS RIVERA;LAURA TEDESCO;1;4,00;4,00
9788423349449;LAS VIDAS DE MIGUEL DE CERVANTES;ANDRES TRAPIELLO;EDICIONES DESTINO;1;10,95;10,95
9788423355532;LAS ARMAS Y LAS LETRAS;ANDRES TRAPIELLO;EDICIONES DESTINO;1;35,00;35,00
9788423361885;MADRID 1945;ANDRES TRAPIELLO;EDICIONES DESTINO;1;23,90;23,90
9788490669785;MI FILOSOFIA DE A A B Y DE B A A;ANDY WARHOL;TUSQUETS EDITORES;1;10,95;10,95
9788087429501;EL VERANO EN QUE DIOS DORMÍA;ÁNGEL SANTIESTEBAN PRATS;FRA;1;12,90;12,90
9788419179876;ESTABA LA PAJARA PINTA SENTADA EN EL VERDE LIMON;ANGEL, ALBALUCIA;NAVONA EDITORIAL;1;25,00;25,00
9788412582000;LOS GIRASOLES EN INVIERNO;ÁNGEL, ALBALUCÍA;LAVA;2;39,80;19,90
9788448857295;¡QUE GANE EL MEJOR! (UNA CASA DE LOCOS. CÓMIC 7);"ANGELA ENTZMINGER;ANDREW";BEASCOA;1;13,95;13,95
9789507311338;MUJERES DE OJOS GRANDES;ANGELES MASTRETTA;LAURA TEDESCO;1;5,00;5,00
9788416544134;TÚ NO ERES COMO OTRAS MADRES;ANGELIKA SCHROBSDORFF;TUSQUETS EDITORES;1;7,00;7,00
9788432228322;EL CONSUELO;ANNA GAVALDA;TUSQUETS EDITORES;1;8,00;8,00
9788484415008;LATIDO;ANNA GODBERSEN;MONTENA;1;6,00;6,00
9788484416166;ENVIDIA;ANNA GODBERSEN;MONTENA;1;6,00;6,00
9788408135234;AFTER 2;ANNA TODD;TUSQUETS EDITORES;1;6,00;6,00
9788408133537;AFTER;ANNA TODD;TUSQUETS EDITORES;1;6,00;6,00
